year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws
2010,1,2,0,1,-16,-4,1020,SE,1.79
2010,1,2,1,1,-15,-4,1020,SE,2.68
2010,1,2,2,1,-11,-5,1021,SE,3.57
2010,1,2,3,1,-7,-5,1022,SE,5.36
2010,1,2,4,1,-7,-5,1022,SE,6.25
2010,1,2,5,1,-7,-6,1022,SE,7.14
2010,1,2,6,1,-7,-6,1023,SE,8.93
2010,1,2,7,1,-7,-5,1024,SE,10.72
2010,1,2,8,1,-8,-6,1024,SE,12.51
2010,1,2,9,1,-7,-5,1025,SE,14.3
2010,1,2,10,1,-7,-5,1026,SE,17.43
2010,1,2,11,1,-8,-5,1026,SE,20.56
2010,1,2,12,1,-8,-5,1026,SE,23.69
2010,1,2,13,1,-8,-5,1025,SE,27.71
2010,1,2,14,1,-9,-5,1025,SE,31.73
2010,1,2,15,1,-9,-5,1025,SE,35.75
2010,1,2,16,1,-9,-5,1026,SE,37.54
2010,1,2,17,1,-8,-5,1027,SE,39.33
2010,1,2,18,1,-8,-5,1027,SE,42.46
2010,1,2,19,1,-8,-5,1028,SE,44.25
2010,1,2,20,1,-7,-5,1028,SE,46.04
2010,1,2,21,1,-7,-5,1027,SE,49.17
2010,1,2,22,1,-8,-6,1028,SE,52.3
2010,1,2,23,1,-8,-6,1027,SE,55.43
2010,1,3,0,1,-7,-6,1027,SE,58.56
2010,1,3,1,1,-8,-6,1026,SE,61.69
2010,1,3,2,1,-8,-7,1026,SE,65.71
2010,1,3,3,1,-8,-7,1025,SE,68.84
2010,1,3,4,1,-8,-7,1024,SE,72.86
2010,1,3,5,1,-9,-8,1024,SE,76.88
2010,1,3,6,1,-10,-8,1024,SE,80.9
2010,1,3,7,1,-10,-9,1024,SE,84.92
2010,1,3,8,1,-10,-9,1024,SE,89.84
2010,1,3,9,1,-11,-9,1023,SE,93.86
2010,1,3,10,1,-11,-9,1023,SE,97.88
2010,1,3,11,1,-11,-9,1022,SE,102.8
2010,1,3,12,1,-11,-9,1021,SE,105.93
2010,1,3,13,1,-11,-9,1020,SE,111.74
2010,1,3,14,1,-11,-9,1020,SE,116.66
2010,1,3,15,1,-11,-9,1020,SE,121.58
2010,1,3,16,1,-11,-9,1020,SE,124.71
2010,1,3,17,1,-11,-9,1020,SE,127.84
2010,1,3,18,1,-11,-9,1021,cv,0.89
2010,1,3,19,1,-11,-9,1022,cv,1.78
2010,1,3,20,1,-10,-9,1022,NW,4.02
2010,1,3,21,1,-11,-10,1023,NW,7.15
2010,1,3,22,1,-11,-9,1023,NW,11.17
2010,1,3,23,1,-12,-11,1023,NW,14.3
2010,1,4,0,1,-14,-12,1023,NW,16.09
2010,1,4,1,1,-16,-9,1023,NW,21.9
2010,1,4,2,1,-17,-10,1024,NW,29.95
2010,1,4,3,1,-18,-11,1024,NW,39.78
2010,1,4,4,1,-19,-11,1025,NW,48.72
2010,1,4,5,1,-20,-12,1026,NW,55.87
2010,1,4,6,1,-21,-12,1027,NW,64.81
2010,1,4,7,1,-21,-13,1027,NW,73.75
2010,1,4,8,1,-22,-13,1028,NW,80.9
2010,1,4,9,1,-22,-13,1029,NW,90.73
2010,1,4,10,1,-22,-12,1030,NW,100.56
2010,1,4,11,1,-23,-12,1031,NW,108.61
2010,1,4,12,1,-21,-11,1030,NW,117.55
2010,1,4,13,1,-20,-10,1030,NW,127.38
2010,1,4,14,1,-21,-10,1030,NW,136.32
2010,1,4,15,1,-21,-9,1030,NW,145.26
2010,1,4,16,1,-21,-9,1031,NW,152.41
2010,1,4,17,1,-20,-11,1032,NW,159.56
2010,1,4,18,1,-23,-11,1032,NW,165.37
2010,1,4,19,1,-21,-12,1033,NW,171.18
2010,1,4,20,1,-24,-12,1034,NW,180.12
2010,1,4,21,1,-24,-13,1034,NW,187.27
2010,1,4,22,1,-24,-13,1035,NW,195.32
2010,1,4,23,1,-26,-15,1035,NW,198.45
2010,1,5,0,1,-26,-17,1035,NW,201.58
2010,1,5,1,1,-26,-18,1035,NW,205.6
2010,1,5,2,1,-26,-19,1035,NW,208.73
2010,1,5,3,1,-27,-18,1035,NW,213.65
2010,1,5,4,1,-27,-19,1035,NW,218.57
2010,1,5,5,1,-27,-16,1034,NE,4.92
2010,1,5,6,1,-26,-16,1035,NE,8.05
2010,1,5,7,1,-27,-16,1034,NE,13.86
2010,1,5,8,1,-26,-16,1035,NE,18.78
2010,1,5,9,1,-26,-15,1035,NE,24.59
2010,1,5,10,1,-25,-14,1035,NE,29.51
2010,1,5,11,1,-25,-13,1035,NE,34.43
2010,1,5,12,1,-25,-12,1034,NE,39.35
2010,1,5,13,1,-24,-11,1032,NE,41.14
2010,1,5,14,1,-22,-11,1032,cv,0.89
2010,1,5,15,1,-23,-11,1031,NW,1.79
2010,1,5,16,1,-24,-11,1031,NW,3.58
2010,1,5,17,1,-23,-11,1031,NW,5.37
2010,1,5,18,1,-23,-11,1032,NW,7.16
2010,1,5,19,1,-22,-13,1033,NW,10.29
2010,1,5,20,1,-22,-12,1033,NW,13.42
2010,1,5,21,1,-24,-18,1033,NW,16.55
2010,1,5,22,1,-22,-13,1034,NW,20.57
2010,1,5,23,1,-22,-16,1033,NW,23.7
2010,1,6,0,1,-25,-17,1033,NW,26.83
2010,1,6,1,1,-25,-14,1033,NE,4.02
2010,1,6,2,1,-26,-14,1034,NE,8.04
2010,1,6,3,1,-26,-14,1033,NE,13.85
2010,1,6,4,1,-26,-14,1033,NE,17.87
2010,1,6,5,1,-26,-14,1033,NE,23.68
2010,1,6,6,1,-26,-14,1033,NE,28.6
2010,1,6,7,1,-26,-15,1034,NE,33.52
2010,1,6,8,1,-26,-14,1034,NE,39.33
2010,1,6,9,1,-25,-13,1035,NE,44.25
2010,1,6,10,1,-25,-12,1035,NE,50.06
2010,1,6,11,1,-24,-11,1035,NE,54.98
2010,1,6,12,1,-24,-10,1034,NE,59
2010,1,6,13,1,-22,-10,1033,NW,4.02
2010,1,6,14,1,-22,-9,1033,NW,5.81
2010,1,6,15,1,-22,-8,1033,cv,0.89
2010,1,6,16,1,-22,-8,1033,NW,1.79
2010,1,6,17,1,-21,-9,1033,NW,3.58
2010,1,6,18,1,-22,-9,1033,NW,5.37
2010,1,6,19,1,-22,-14,1034,cv,0.89
2010,1,6,20,1,-22,-12,1035,NW,1.79
2010,1,6,21,1,-21,-14,1034,NW,3.58
2010,1,6,22,1,-22,-16,1035,NW,5.37
